a,b,c,density,early_density,max_streak,total_primes,first_primes
1,2329,1697,0.5468,0.8266666666666667,18,2734,"[[1, 4027], [2, 6359], [3, 8693], [5, 13367], [7, 18049], [8, 20393], [9, 22739], [10, 25087], [11, 27437], [12, 29789]]"
1,2331,4027,0.5468,0.8266666666666667,18,2734,"[[1, 6359], [2, 8693], [4, 13367], [6, 18049], [7, 20393], [8, 22739], [9, 25087], [10, 27437], [11, 29789], [12, 32143]]"
1,1837,1013,0.5154,0.8266666666666667,16,2577,"[[1, 2851], [2, 4691], [4, 8377], [5, 10223], [6, 12071], [7, 13921], [8, 15773], [9, 17627], [10, 19483], [11, 21341]]"
1,1417,743,0.514,0.7733333333333333,13,2570,"[[1, 2161], [2, 3581], [3, 5003], [4, 6427], [5, 7853], [6, 9281], [7, 10711], [8, 12143], [9, 13577], [10, 15013]]"
1,1419,2161,0.5138,0.76,12,2569,"[[1, 3581], [2, 5003], [3, 6427], [4, 7853], [5, 9281], [6, 10711], [7, 12143], [8, 13577], [9, 15013], [10, 16451]]"
1,1421,3581,0.5138,0.76,12,2569,"[[1, 5003], [2, 6427], [3, 7853], [4, 9281], [5, 10711], [6, 12143], [7, 13577], [8, 15013], [9, 16451], [10, 17891]]"
1,1183,359,0.5084,0.8,13,2542,"[[1, 1543], [2, 2729], [3, 3917], [4, 5107], [5, 6299], [7, 8689], [8, 9887], [9, 11087], [10, 12289], [12, 14699]]"
1,1185,1543,0.5084,0.8,13,2542,"[[1, 2729], [2, 3917], [3, 5107], [4, 6299], [6, 8689], [7, 9887], [8, 11087], [9, 12289], [11, 14699], [12, 15907]]"
1,1187,2729,0.5082,0.8,13,2541,"[[1, 3917], [2, 5107], [3, 6299], [5, 8689], [6, 9887], [7, 11087], [8, 12289], [10, 14699], [11, 15907], [12, 17117]]"
1,1189,3917,0.508,0.8,13,2540,"[[1, 5107], [2, 6299], [4, 8689], [5, 9887], [6, 11087], [7, 12289], [9, 14699], [10, 15907], [11, 17117], [12, 18329]]"
1,2217,3643,0.5068,0.7866666666666666,12,2534,"[[1, 5861], [2, 8081], [3, 10303], [4, 12527], [5, 14753], [6, 16981], [7, 19211], [9, 23677], [10, 25913], [11, 28151]]"
1,2215,1427,0.5068,0.7866666666666666,12,2534,"[[1, 3643], [2, 5861], [3, 8081], [4, 10303], [5, 12527], [6, 14753], [7, 16981], [8, 19211], [10, 23677], [11, 25913]]"
